table,columns,model_status
w_insured_cargo_d,invoice_date,TBU
w_insured_cargo_d,b/l_date,TBU
w_insured_cargo_d,unit,TBU
w_insured_cargo_d,means_of_package,TBU
w_insured_cargo_d,latest_shipment,TBU
w_insured_cargo_d,voyage_to_be_advised,TBU
w_insured_cargo_d,voyage_no,TBU
w_insured_cargo_d,exchange_rate_for_si,TBU
w_insured_cargo_d,invoice_contract_value,TBU
w_insured_cargo_d,rate,TBU
w_insured_cargo_d,premium_according_to_si_vnd,TBU
w_insured_cargo_d,premium_according_to_si_fc,TBU
w_insured_cargo_d,trading_area,TBU
w_insured_cargo_d,currency_of_income,TBU
w_insured_cargo_d,gross_income,TBU
w_insured_cargo_d,other_revenue,TBU
w_insured_cargo_d,total,TBU
w_insured_cargo_d,insured_services,TBU
w_insured_cargo_d,excluding,TBU
w_insured_cargo_d,other_terms,TBU
w_insured_cargo_d,left_side,TBU
w_insured_cargo_d,ship_name,TBU
w_insured_cargo_d,risk_type,TBU
w_insured_cargo_d,program,TBU
w_insured_cargo_d,w_integration key,TBU
w_insured_cargo_d,w_valid_from,TBU
w_insured_cargo_d,w_valid_to,TBU
w_insured_cargo_d,w_valid_flag,TBU
w_insured_cargo_d,w_created_time,TBU
w_insured_cargo_d,w_updated_time,TBU
w_insured_hull_d,w_insured_hull_id,TBU
w_insured_hull_d,w_insured_id,TBU
w_insured_hull_d,program,TBU
w_insured_hull_d,capacity,TBU
w_insured_hull_d,currency,TBU
w_insured_hull_d,trading_area,TBU
w_insured_hull_d,currency_of_income,TBU
w_insured_hull_d,gross_income,TBU
w_insured_hull_d,other_revenue,TBU
w_insured_hull_d,total,TBU
w_insured_hull_d,insured_services,TBU
w_insured_hull_d,excluding,TBU
w_insured_hull_d,other_terms,TBU
w_insured_hull_d,left_side,TBU
w_insured_hull_d,ship_name,TBU
w_insured_hull_d,ship_type,TBU
w_insured_hull_d,year_of_built,TBU
w_insured_hull_d,ship_classification,TBU
w_insured_hull_d,gross_tonnage,TBU
w_insured_hull_d,ship_declaration_value,TBU
w_insured_hull_d,hull_percent,TBU
w_insured_hull_d,machinery_percent,TBU
w_insured_hull_d,equipment_percent,TBU
w_insured_hull_d,others_percent,TBU
w_insured_hull_d,right_side,TBU
w_insured_hull_d,registration_no,TBU
w_insured_hull_d,ship_building_material,TBU
w_insured_hull_d,place_of_built,TBU
w_insured_hull_d,dead_weight,TBU
w_insured_hull_d,high_speed_ship_over_30_km_h,TBU
w_insured_hull_d,imo_registration_no,TBU
w_insured_hull_d,w_integration key,TBU
w_insured_hull_d,w_valid_from,TBU
w_insured_hull_d,w_valid_to,TBU
w_insured_hull_d,w_valid_flag,TBU
w_insured_hull_d,w_created_time,TBU
w_insured_hull_d,w_updated_time,TBU
w_insured_engineering_d,w_insured_engineering_id,TBU
w_insured_engineering_d,w_insured_id,TBU
w_insured_engineering_d,insured_src_id,TBU
w_insured_engineering_d,effective_date,TBU
w_insured_engineering_d,expired_date,TBU
w_insured_engineering_d,risk_id,TBU
